 51 4178.864116 2.164E-29 2.989E+00.06070.068 4339.32740.78-.003910              4              2                    R  6      468885 5 8 3 3 2 7    15.0   13.0
 51 4179.035895 2.534E-25 1.569E+00.06080.068 2249.93340.78-.004604              3              1                    P  7      478884 5 8 3 3 2 3    13.0   15.0
 51 4180.282526 4.646E-22 4.634E-01.05190.057  656.78920.76-.005312              2              0                    P 18      688885 6 8 3 3 2 3    35.0   37.0
 51 4182.075043 2.188E-29 3.037E+00.05950.066 4365.74430.79-.003910              4              2                    R  7      468885 5 8 3 3 2 7    17.0   15.0
 51 4183.262861 2.487E-25 1.602E+00.06250.070 2223.27140.77-.004443              3              1                    P  6      478884 5 8 3 3 2 3    11.0   13.0
 51 4185.214797 2.138E-29 3.080E+00.05850.065 4395.93220.79-.003870              4              2                    R  8      468885 5 8 3 3 2 7    19.0   17.0
 51 4185.295240 6.172E-22 4.678E-01.05290.058  587.72090.76-.005224              2              0                    P 17      688885 6 8 3 3 2 3    33.0   35.0
 51 4187.420705 2.329E-25 1.644E+00.06490.072 2200.41640.76-.004182              3              1                    P  5      478884 5 8 3 3 2 3     9.0   11.0
 51 4188.283232 2.027E-29 3.120E+00.05780.064 4429.88980.78-.003860              4              2                    R  9      468885 5 8 3 3 2 7    21.0   19.0
 51 4190.240441 8.022E-22 4.725E-01.05360.059  522.47510.76-.005228              2              0                    P 16      688885 6 8 3 3 2 3    31.0   33.0
 51 4191.280199 1.867E-29 3.157E+00.05710.063 4467.61580.78-.003840              4              2                    R 10      468885 5 8 3 3 2 7    23.0   21.0
 51 4191.509279 2.056E-25 1.705E+00.06790.075 2181.36920.76-.003803              3              1                    P  4      478884 5 8 3 3 2 3     7.0    9.0
 51 4194.205553 1.675E-29 3.192E+00.05640.062 4509.10880.77-.003850              4              2                    R 11      468885 5 8 3 3 2 7    25.0   23.0
 51 4195.117982 1.019E-21 4.772E-01.05450.060  461.05440.76-.005105              2              0                    P 15      688885 6 8 3 3 2 3    29.0   31.0
 51 4195.528436 1.670E-25 1.804E+00.07130.078 2166.13050.77-.003292              3              1                    P  3      478884 5 8 3 3 2 3     5.0    7.0
 51 4197.059147 1.465E-29 3.226E+00.05570.062 4554.36700.77-.003920              4              2                    R 12      468885 5 8 3 3 2 7    27.0   25.0
 51 4199.478031 1.184E-25 2.020E+00.07520.082 2154.70100.77-.002983              3              1                    P  2      478884 5 8 3 3 2 3     3.0    5.0
 51 4199.840834 1.251E-29 3.259E+00.05500.061 4603.38890.76-.004040              4              2                    R 13      468885 5 8 3 3 2 7    29.0   27.0
 51 4199.927718 1.266E-21 4.822E-01.05520.061  403.46120.77-.005048              2              0                    P 14      688885 6 8 3 3 2 3    27.0   29.0
 51 4202.550466 1.043E-29 3.291E+00.05420.060 4656.17240.76-.004130              4              2                    R 14      468885 5 8 3 3 2 7    31.0   29.0
 51 4203.357916 6.181E-26 3.053E+00.08050.088 2147.08110.78-.002787              3              1                    P  1      478884 5 8 3 3 2 3     1.0    3.0
 51 4204.669501 1.535E-21 4.874E-01.05590.062  349.69750.78-.004926              2              0                    P 13      688885 6 8 3 3 2 3    25.0   27.0
 51 4205.187898 8.507E-30 3.322E+00.05350.059 4712.71560.75-.004240              4              2                    R 15      468885 5 8 3 3 2 7    33.0   31.0
 51 4207.752983 6.785E-30 3.353E+00.05260.058 4773.01610.75-.004500              4              2                    R 16      468885 5 8 3 3 2 7    35.0   33.0
 51 4209.343184 1.816E-21 4.929E-01.05660.063  299.76560.78-.004952              2              0                    P 12      688885 6 8 3 3 2 3    23.0   25.0
 51 4210.245573 5.295E-30 3.383E+00.05180.057 4837.07170.74-.004510              4              2                    R 17      468885 5 8 3 3 2 7    37.0   35.0
 51 4210.907967 6.371E-26 1.034E+00.08040.088 2143.27110.78-.003323              3              1                    R  0      478884 5 8 3 3 2 3     3.0    1.0
 51 4212.665523 4.045E-30 3.413E+00.05100.056 4904.87990.74-.004750              4              2                    R 18      468885 5 8 3 3 2 7    39.0   37.0
 51 4213.948622 2.095E-21 4.988E-01.05730.064  253.66720.79-.004877              2              0                    P 11      688885 6 8 3 3 2 3    21.0   23.0
 51 4214.577840 1.258E-25 1.250E+00.07530.082 2147.08110.78-.003602              3              1                    R  1      478884 5 8 3 3 2 3     5.0    3.0
 51 4215.012686 3.026E-30 3.443E+00.05020.055 4976.43800.73-.004910              4              2                    R 19      468885 5 8 3 3 2 7    41.0   39.0
 51 4217.286914 2.217E-30 3.472E+00.04950.053 5051.74320.73-.004950              4              2                    R 20      468885 5 8 3 3 2 7    43.0   41.0
 51 4218.177415 1.830E-25 1.349E+00.07130.078 2154.70100.77-.003751              3              1                    R  2      478884 5 8 3 3 2 3     7.0    5.0
 51 4218.485666 2.353E-21 5.051E-01.05790.065  211.40410.79-.004840              2              0                    P 10      688885 6 8 3 3 2 3    19.0   21.0
 51 4219.488062 1.592E-30 3.502E+00.04880.052 5130.79260.72-.005700              4              2                    R 21      468885 5 8 3 3 2 7    45.0   43.0
 51 4221.615983 1.120E-30 3.531E+00.04750.051 5213.58320.72-.005480              4              2                    R 22      468885 5 8 3 3 2 7    47.0   45.0
 51 4221.706546 2.322E-25 1.410E+00.06790.075 2166.13050.76-.003855              3              1                    R  3      478884 5 8 3 3 2 3     9.0    7.0
 51 4222.954171 2.567E-21 5.121E-01.05870.066  172.97800.79-.004770              2              0                    P  9      688885 6 8 3 3 2 3    17.0   19.0
 51 4223.670530 7.721E-31 3.560E+00.04660.050 5300.11170.71-.005480              4              2                    R 23      468885 5 8 3 3 2 7    49.0   47.0
 51 4225.165085 2.711E-25 1.453E+00.06480.072 2181.36920.76-.003855              3              1                    R  4      478884 5 8 3 3 2 3    11.0    9.0
 51 4225.651557 5.220E-31 3.589E+00.04690.049 5390.37470.71-.005480              4              2                    R 24      466665 5 8 3 3 2 7    51.0   49.0
 51 4227.353988 2.715E-21 5.200E-01.05960.067  138.39040.79-.004689              2              0                    P  8      688885 6 8 3 3 2 3    15.0   17.0
 51 4227.558918 3.460E-31 3.618E+00.04640.048 5484.36870.70-.005480              4              2                    R 25      466665 5 8 3 3 2 7    53.0   51.0
 51 4228.552886 2.984E-25 1.487E+00.06240.070 2200.41640.77-.003886              3              1                    R  5      478884 5 8 3 3 2 3    13.0   11.0
 51 4229.392465 2.249E-31 3.647E+00.04570.047 5582.09010.70-.005480              4              2                    R 26      466665 5 8 3 3 2 7    55.0   53.0
 51 4231.152052 1.433E-31 3.676E+00.04510.047 5683.53510.70-.005480              4              2                    R 27      466665 5 8 3 3 2 7    57.0   55.0
 51 4231.684972 2.775E-21 5.291E-01.06080.068  107.64240.78-.004604              2              0                    P  7      688885 6 8 3 3 2 3    13.0   15.0
 51 4231.869803 3.134E-25 1.515E+00.06070.068 2223.27140.78-.003913              3              1                    R  6      478884 5 8 3 3 2 3    15.0   13.0
 51 4235.115687 3.166E-25 1.540E+00.05950.066 2249.93340.79-.003913              3              1                    R  7      478884 5 8 3 3 2 3    17.0   15.0
 51 4235.946976 2.727E-21 5.402E-01.06250.070   80.73540.77-.004443              2              0                    P  6      688885 6 8 3 3 2 3    11.0   13.0
 51 4238.290394 3.090E-25 1.562E+00.05850.065 2280.40120.79-.003870              3              1                    R  8      478884 5 8 3 3 2 3    19.0   17.0
 51 4240.139851 2.557E-21 5.546E-01.06490.072   57.67040.76-.004182              2              0                    P  5      688885 6 8 3 3 2 3     9.0   11.0
 51 4241.393775 2.924E-25 1.582E+00.05780.064 2314.67390.78-.003862              3              1                    R  9      478884 5 8 3 3 2 3    21.0   19.0
 51 4244.263453 2.259E-21 5.749E-01.06790.075   38.44810.76-.003803              2              0                    P  4      688885 6 8 3 3 2 3     7.0    9.0
 51 4244.425684 2.690E-25 1.601E+00.05710.063 2352.74990.78-.003836              3              1                    R 10      478884 5 8 3 3 2 3    23.0   21.0
 51 4247.385975 2.409E-25 1.619E+00.05640.062 2394.62790.77-.003849              3              1                    R 11      478884 5 8 3 3 2 3    25.0   23.0
 51 4248.317632 1.837E-21 6.084E-01.07130.078   23.06950.77-.003292              2              0                    P  3      688885 6 8 3 3 2 3     5.0    7.0
 51 4250.274500 2.103E-25 1.636E+00.05570.062 2440.30620.77-.003922              3              1                    R 12      478884 5 8 3 3 2 3    27.0   25.0
 51 4252.302244 1.303E-21 6.813E-01.07520.082   11.53500.77-.002983              2              0                    P  2      688885 6 8 3 3 2 3     3.0    5.0
 51 4253.091114 1.792E-25 1.653E+00.05500.061 2489.78310.76-.004041              3              1                    R 13      478884 5 8 3 3 2 3    29.0   27.0
 51 4255.835670 1.491E-25 1.669E+00.05420.060 2543.05670.76-.004125              3              1                    R 14      478884 5 8 3 3 2 3    31.0   29.0
 51 4256.217139 6.802E-22 1.030E+00.08050.088    3.84500.78-.002787              2              0                    P  1      688885 6 8 3 3 2 3     1.0    3.0
 51 4258.508021 1.213E-25 1.685E+00.05350.059 2600.12490.75-.004235              3              1                    R 15      478884 5 8 3 3 2 3    33.0   31.0
 51 4261.108022 9.647E-26 1.701E+00.05260.058 2660.98550.75-.004498              3              1                    R 16      478884 5 8 3 3 2 3    35.0   33.0
 51 4263.635524 7.508E-26 1.717E+00.05180.057 2725.63610.74-.004506              3              1                    R 17      478884 5 8 3 3 2 3    37.0   35.0
 51 4263.837197 7.014E-22 3.487E-01.08040.088    0.00000.78-.003323              2              0                    R  0      688685 6 8 3 3 2 3     3.0    1.0
 51 4266.090383 5.718E-26 1.732E+00.05100.056 2794.07430.74-.004754              3              1                    R 18      478884 5 8 3 3 2 3    39.0   37.0
 51 4267.542065 1.385E-21 4.218E-01.07530.082    3.84500.78-.003602              2              0                    R  1      688885 6 8 3 3 2 3     5.0    3.0
 51 4268.472452 4.264E-26 1.747E+00.05020.055 2866.29750.73-.004905              3              1                    R 19      478884 5 8 3 3 2 3    41.0   39.0
 51 4270.781585 3.114E-26 1.763E+00.04950.053 2942.30280.73-.004946              3              1                    R 20      478884 5 8 3 3 2 3    43.0   41.0
 51 4271.176630 2.014E-21 4.554E-01.07130.078   11.53500.77-.003751              2              0                    R  2      688885 6 8 3 3 2 3     7.0    5.0
 51 4273.017634 2.228E-26 1.778E+00.04880.052 3022.08730.72-.005703              3              1                    R 21      478884 5 8 3 3 2 3    45.0   43.0
 51 4274.740746 2.554E-21 4.760E-01.06790.075   23.06950.76-.003855              2              0                    R  3      688885 6 8 3 3 2 3     9.0    7.0
 51 4275.180455 1.562E-26 1.793E+00.04750.051 3105.64790.72-.005478              3              1                    R 22      478884 5 8 3 3 2 3    47.0   45.0
 51 4277.269901 1.073E-26 1.808E+00.04660.050 3192.98150.71-.005955              3              1                    R 23      478884 5 8 3 3 2 3    49.0   47.0
 51 4278.234264 2.981E-21 4.906E-01.06480.072   38.44810.76-.003855              2              0                    R  4      688885 6 8 3 3 2 3    11.0    9.0
 51 4279.285826 7.224E-27 1.823E+00.04690.049 3284.08460.71-.005200              3              1                    R 24      476663 5 8 3 3 2 1    51.0   49.0
 51 4281.228084 4.768E-27 1.837E+00.04640.048 3378.95370.70-.005200              3              1                    R 25      476663 5 8 3 3 2 1    53.0   51.0
 51 4281.657040 3.278E-21 5.020E-01.06240.070   57.67040.77-.003886              2              0                    R  5      688885 6 8 3 3 2 3    13.0   11.0
 51 4283.096528 3.086E-27 1.852E+00.04570.047 3477.58510.70-.005200              3              1                    R 26      476663 5 8 3 3 2 1    55.0   53.0
 51 4284.891014 1.958E-27 1.867E+00.04510.047 3579.97510.70-.005200              3              1                    R 27      476663 5 8 3 3 2 1    57.0   55.0
 51 4285.008925 3.440E-21 5.115E-01.06070.068   80.73540.78-.003913              2              0                    R  6      688885 6 8 3 3 2 3    15.0   13.0
 51 4286.611394 1.219E-27 1.882E+00.04460.046 3686.11980.70-.005200              3              1                    R 28      476663 5 8 3 3 2 1    59.0   57.0
 51 4288.257523 7.437E-28 1.897E+00.04410.045 3796.01490.70-.005200              3              1                    R 29      476663 5 8 3 3 2 1    61.0   59.0
 51 4288.289774 3.471E-21 5.198E-01.05950.066  107.64240.79-.003913              2              0                    R  7      688885 6 8 3 3 2 3    17.0   15.0
 51 4289.829253 4.453E-28 1.912E+00.04360.043 3909.65620.70-.005200              3              1                    R 30      466663 5 8 3 3 2 1    63.0   61.0
 51 4291.326442 2.615E-28 1.927E+00.04300.042 4027.03950.70-.005200              3              1                    R 31      466663 5 8 3 3 2 1    65.0   63.0
 51 4291.499439 3.384E-21 5.273E-01.05850.065  138.39040.79-.003870              2              0                    R  8      688885 6 8 3 3 2 3    19.0   17.0
 51 4292.748942 1.507E-28 1.942E+00.04250.041 4148.16010.70-.005200              3              1                    R 32      466663 5 8 3 3 2 1    67.0   65.0
 51 4294.096607 8.517E-29 1.957E+00.04200.041 4273.01330.70-.005200              3              1                    R 33      462223 5 8 3 3 2 1    69.0   67.0
 51 4294.637774 3.198E-21 5.342E-01.05780.064  172.97800.78-.003862              2              0                    R  9      688885 6 8 3 3 2 3    21.0   19.0
 51 4295.369292 4.724E-29 1.972E+00.04200.041 4401.59430.70-.005200              3              1                    R 34      462223 5 8 3 3 2 1    71.0   69.0
 51 4296.566850 2.571E-29 1.987E+00.04200.041 4533.89830.70-.005200              3              1                    R 35      462223 5 8 3 3 2 1    73.0   71.0
 51 4297.689135 1.373E-29 2.002E+00.04200.041 4669.92000.70-.005200              3              1                    R 36      462223 5 8 3 3 2 1    75.0   73.0
 51 4297.704633 2.937E-21 5.407E-01.05710.063  211.40410.78-.003836              2              0                    R 10      688885 6 8 3 3 2 3    23.0   21.0
 51 4298.736003 7.200E-30 2.017E+00.04200.041 4809.65410.70-.005200              3              1                    R 37      462223 5 8 3 3 2 1    77.0   75.0
 51 4299.707306 3.704E-30 2.032E+00.04200.041 4953.09540.70-.005200              3              1                    R 38      462223 5 8 3 3 2 1    79.0   77.0
 51 4300.602899 1.871E-30 2.048E+00.04200.041 5100.23820.70-.005200              3              1                    R 39      462223 5 8 3 3 2 1    81.0   79.0
 51 4300.699869 2.625E-21 5.468E-01.05640.062  253.66720.77-.003849              2              0                    R 11      688885 6 8 3 3 2 3    25.0   23.0
